title,authors,year,abstract,pdf_link,abstract_link,domain
Optimal Neural Spike Classification,"James Bower, Amir Atiya",1987,"Being able  to record the electrical activities of a  number of neurons simultaneously is  likely  to be important in  the study of the functional organization of networks of real neurons.  Using  one  extracellular  microelectrode  to  record  from  several neurons  is  one  approach  to  studying  the  response  properties  of sets  of  adjacent  and  therefore  likely  related  neurons.  However,  to  do  this,  it  is  necessary  to  correctly  classify  the  signals  generated  by  these  different  neurons.  This paper considers  this problem of classifying the  signals  in  such an  extracellular recording,  based upon their shapes, and specifically considers the classification of signals in the case when  spikes overlap  temporally.",https://papers.nips.cc/paper_files/paper/1987/file/1ff1de774005f8da13f42943881c655f-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/1ff1de774005f8da13f42943881c655f-Abstract.html,Machine Learning and Deep Learning
REFLEXIVE ASSOCIATIVE MEMORIES,Hendricus G. Loos,1987,"In the synchronous discrete model, the average memory capacity of  bidirectional associative memories (BAMs) is compared with that of  Hopfield memories, by means of a calculat10n of the percentage of good  recall for 100 random BAMs of dimension 64x64, for different numbers  of stored vectors. The memory capac1ty Is found to be much smal1er than  the Kosko upper bound, which Is the lesser of the two dimensions of the  BAM. On the average, a 64x64 BAM has about 68 % of the capacity of the  corresponding Hopfield memory with the same number of neurons. Ortho(cid:173) normal coding of the BAM Increases the effective storage capaCity by  only 25 %. The memory capacity limitations are due to spurious stable  states, which arise In BAMs In much the same way as in Hopfleld  memories. Occurrence of spurious stable states can be avoided by  replacing the thresholding in the backlayer of the BAM by another  nonl1near process, here called ""Dominant Label Selection"" (DLS). The  simplest DLS is the wlnner-take-all net, which gives a fault-sensitive  memory. Fault tolerance can be improved by the use of an orthogonal or  unitary transformation. An optical application of the latter is a Fourier  transform, which is implemented simply by a lens.",https://papers.nips.cc/paper_files/paper/1987/file/2838023a778dfaecdc212708f721b788-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/2838023a778dfaecdc212708f721b788-Abstract.html,Ethics and Fairness in AI
The Performance of Convex Set Projection Based Neural Networks,"Robert Marks, Les Atlas, Seho Oh, James Ritcey",1987,and,https://papers.nips.cc/paper_files/paper/1987/file/28dd2c7955ce926456240b2ff0100bde-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/28dd2c7955ce926456240b2ff0100bde-Abstract.html,Machine Learning and Deep Learning
Speech Recognition Experiments with Perceptrons,David Burr,1987,"Artificial  neural  networks  (ANNs)  are  capable  of accurate  recognition  of  simple speech  vocabularies such  as  isolated  digits  [1].  This paper looks  at two  more  difficult  vocabularies,  the  alphabetic  E-set  and  a  set  of  polysyllabic  words.  The  E-set  is  difficult  because  it  contains  weak  discriminants  and  polysyllables  are  difficult  because  of  timing  variation.  Polysyllabic  word  recognition  is  aided  by a  time  pre-alignment technique  based on  dynamic pro(cid:173) gramming  and  E-set  recognition  is  improved  by  focusing  attention.  Recogni(cid:173) tion  accuracies  are  better  than  98%  for  both  vocabularies  when  implemented  with a single  layer perceptron.",https://papers.nips.cc/paper_files/paper/1987/file/2a38a4a9316c49e5a833517c45d31070-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/2a38a4a9316c49e5a833517c45d31070-Abstract.html,Machine Learning and Deep Learning
On Properties of Networks of Neuron-Like Elements,"Pierre Baldi, Santosh Venkatesh",1987,"The  complexity  and  computational  capacity  of multi-layered,  feedforward  neural networks is examined.  Neural networks for special purpose (structured)  functions  are examined  from  the  perspective of circuit  complexity.  Known  re(cid:173) sults in  complexity theory are applied to the special instance of neural network  circuits,  and  in  particular,  classes  of functions  that  can  be  implemented  in  shallow circuits characterised.  Some conclusions are  also  drawn about learning  complexity,  and some  open problems raised.  The dual  problem of determining  the computational capacity of a  class of multi-layered  networks with  dynamics  regulated  by  an  algebraic  Hamiltonian  is  considered.  Formal  results  are  pre(cid:173) sented  on  the  storage  capacities  of programmed  higher-order  structures,  and  a  tradeoff between ease  of programming  and  capacity is  shown.  A  precise  de(cid:173) termination is  made of the static fixed  point structure of random higher-order  constructs,  and phase-transitions (0-1  laws)  are  shown.",https://papers.nips.cc/paper_files/paper/1987/file/3295c76acbf4caaed33c36b1b5fc2cb1-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/3295c76acbf4caaed33c36b1b5fc2cb1-Abstract.html,Ethics and Fairness in AI
Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons,"Mark Derthick, Joe Tebelskis",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/32bb90e8976aab5298d5da10fe66f21d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/32bb90e8976aab5298d5da10fe66f21d-Abstract.html,AI and Applications
On Tropistic Processing and Its Applications,Manuel Fernández,1987,"The  interaction  of  a  set  of  tropisms  is  sufficient  in  many  cases  to  explain  the  seemingly  complex  behavioral  responses  exhibited  by  varied  classes  of  biological  systems  to  combinations  of  stimuli.  It  can  be  shown  that  a  straightforward  generalization  of  the  tropism  phenomenon  allows  the  efficient  implementation  of  effective  algorithms  which  appear  to  respond  ""intelligently""  to  changing  environmental  conditions.  Examples  of  the  utilization  of  tropistic  processing  techniques  will  be  presented  in  this  paper  in  applications  entailing  simulated  behavior  synthesis,  path-planning,  pattern  analysis  (clustering),  and  engineering  design  optimization.",https://papers.nips.cc/paper_files/paper/1987/file/33e75ff09dd601bbe69f351039152189-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/33e75ff09dd601bbe69f351039152189-Abstract.html,AI and Applications
Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,"Mario Vecchi, Jawad Salehi",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/3416a75f4cea9109507cacd8e2f2aefc-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/3416a75f4cea9109507cacd8e2f2aefc-Abstract.html,Machine Learning and Deep Learning
A 'Neural' Network that Learns to Play Backgammon,"Gerald Tesauro, Terrence J. Sejnowski",1987,"We describe a class of connectionist networks that have learned to play back(cid:173) gammon  at  an  intermediate-to-advanced  level.  TIle  networks  were  trained  by  a  supervised  learning  procedure  on  a  large  set  of sample  positions evaluated  by  a  human  expert.  In  actual  match  play  against  humans  and  conventional  computer  programs, the networks demonstrate substantial ability to generalize on the basis of  expert knowledge.  Our study touches on some of the most important issues in net(cid:173) work  learning  theory,  including the  development  of efficient coding schemes  and  training procedures, scaling,  generalization,  the  use  of real-valued inputs  and out(cid:173) puts,  and  techniques  for  escaping  from  local  minima.  Practical  applications  in  games and other domains are also discussed.",https://papers.nips.cc/paper_files/paper/1987/file/34173cb38f07f89ddbebc2ac9128303f-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/34173cb38f07f89ddbebc2ac9128303f-Abstract.html,AI and Applications
Learning Representations by Recirculation,"Geoffrey E. Hinton, James McClelland",1987,"We describe a new learning procedure for networks that contain groups of non(cid:173) linear units  arranged in a closed loop.  The  aim of the learning is  to  discover codes  that  allow  the  activity  vectors  in  a  ""visible""  group  to  be  represented  by  activity  vectors  in  a  ""hidden""  group.  One  way  to  test  whether  a  code  is  an  accurate  representation is to try to reconstruct the visible vector from the hidden vector.  The  difference  between  the  original  and  the  reconstructed  visible  vectors  is  called  the  reconstruction  error,  and  the  learning  procedure  aims  to  minimize  this  error.  The  learning procedure has  two  passes.  On the  fust pass,  the  original  visible  vector is  passed around the loop,  and on the second pass an average of the original vector and  the reconstructed vector is passed around the  loop.  The learning procedure  changes  each weight by  an  amount proportional  to  the product of the  ""presynaptic""  activity  and the difference in the post-synaptic activity on the two passes.  This procedure is  much  simpler  to  implement  than  methods  like  back-propagation.  Simulations  in  simple networks  show that it usually converges rapidly on a good set of codes,  and  analysis  shows  that  in  certain  restricted  cases  it  performs  gradient  descent  in  the  squared reconstruction error.",https://papers.nips.cc/paper_files/paper/1987/file/35f4a8d465e6e1edc05f3d8ab658c551-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/35f4a8d465e6e1edc05f3d8ab658c551-Abstract.html,Machine Learning and Deep Learning
A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks,"Alexander Singer, John Donoghue",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/37693cfc748049e45d87b8c7d8b9aacd-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/37693cfc748049e45d87b8c7d8b9aacd-Abstract.html,AI and Applications
PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY,"Christopher Scofield, Douglas L. Reilly, Charles Elbaum, Leon Cooper",1987,in,https://papers.nips.cc/paper_files/paper/1987/file/3c59dc048e8850243be8079a5c74d079-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/3c59dc048e8850243be8079a5c74d079-Abstract.html,Machine Learning and Deep Learning
Strategies for Teaching Layered Networks Classification Tasks,"Ben Wittner, John Denker",1987,"There is  a widespread misconception  that the delta-rule is in some sense guaranteed to  work  on  networks  without hidden units.  As  previous authors have mentioned,  there is  no such guarantee for  classification tasks.  We  will begin by  presenting explicit counter(cid:173) examples illustrating two different interesting ways in which  the delta rule can fail.  We  go on  to provide conditions  which  do guarantee  that gradient  descent  will  successfully  train  networks  without  hidden  units  to  perform  two-category  classification  tasks.  We  discuss  the  generalization  of our  ideas  to  networks  with  hidden  units  and  to  multi(cid:173) category classification  tasks.  The Classification Task  Consider  networks  of the form  indicated  in  figure  1.  We  discuss  various  methods  for  training such  a  network,  that is  for  adjusting its weight  vector,  w.  If we  call  the input  v, the output is  g(w· v), where 9 is  some function.  The classification  task we  wish  to train the network  to perform is  the following.  Given  two finite sets of vectors,  Fl  and F2, output a number greater than zero when a vector in  Fl  is input, and output a number less than zero when a  vector in  F2  is input.  Without  significant loss of generality, we  assume that 9 is odd (Le.  g( -s) ==  -g( s».  In that case,  the task can be reformulated  as follows.  Define  2  F  :==  Fl  U {-v such  that v  E F2}  (1)  and  output  a  number  greater  than  zero  when  a  vector  in  F  is  input.  The  former  formulation is  more natural in some sense,  but the later formulation is  somewhat  more  convenient  for  analysis  and is  the one we  use.  We  call  vectors in  F,  training  vectors.  A  Class  of Gradient  Descent  Algorithms  We  denote  the solution set  by  W  :==  {w such  that g(w· v) > 0 for  all v  E F},  (2)  lCurrently at  NYNEX  Science  and Technology,  500  Westchester  Ave.,  White  Plains,  NY  10604  2 We  use  both  A  := Band B  =: A  to denote  ""A  is  by definition  B"".  @  American Institute of Physics 1988",https://papers.nips.cc/paper_files/paper/1987/file/3ef815416f775098fe977004015c6193-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/3ef815416f775098fe977004015c6193-Abstract.html,Ethics and Fairness in AI
Invariant Object Recognition Using a Distributed Associative Memory,"Harry Wechsler, George Zimmerman",1987,"This  paper  describes  an  approach  to  2-dimensional  object  recognition.  Complex-log  con(cid:173) formal  mapping  is  combined  with  a  distributed  associative  memory  to  create  a  system  which  recognizes  objects  regardless  of  changes  in  rotation  or  scale.  Recalled  information  from  the  memorized  database  is  used  to  classify  an object,  reconstruct  the  memorized  ver(cid:173) sion  of the  object,  and estimate  the  magnitude of changes in  scale  or rotation.  The system  response  is  resistant  to  moderate  amounts of noise  and occlusion.  Several experiments,  us(cid:173) ing real,  gray scale images,  are  presented to show  the feasibility  of our approach.",https://papers.nips.cc/paper_files/paper/1987/file/43ec517d68b6edd3015b3edc9a11367b-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/43ec517d68b6edd3015b3edc9a11367b-Abstract.html,AI and Applications
Cycles: A Simulation Tool for Studying Cyclic Neural Networks,Michael Gately,1987,"A computer program has been designed and implemented to allow a researcher  to  analyze the oscillatory behavior of simulated neural networks with  cyclic  con(cid:173) nectivity.  The  computer  program,  implemented  on  the  Texas  Instruments  Ex(cid:173) plorer / Odyssey system, and the results of numerous experiments are discussed.  The program, CYCLES, allows a user to construct, operate, and inspect neural  networks containing cyclic connection paths with  the aid of a  powerful graphics(cid:173) based interface.  Numerous cycles have been studied, including cycles with one or  more activation points, non-interruptible cycles, cycles with variable path lengths,  and interacting cycles.  The final  class,  interacting cycles,  is  important due to its  ability to implement time-dependent goal processing in neural networks.",https://papers.nips.cc/paper_files/paper/1987/file/44f683a84163b3523afe57c2e008bc8c-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/44f683a84163b3523afe57c2e008bc8c-Abstract.html,AI and Applications
Learning on a General Network,Amir Atiya,1987,"This paper generalizes the backpropagation method to a  general network containing feed(cid:173) back t;onnections.  The network model considered consists of interconnected groups of neurons,  where each  group could be fully  interconnected  (it could  have feedback connections, with pos(cid:173) sibly  asymmetric weights),  but no loops between the  groups are  allowed.  A stochastic descent  algorithm  is  applied,  under  a  certain inequality constraint  on each  intra-group weight  matrix  which  ensures for  the  network  to  possess  a  unique equilibrium  state for  every input.",https://papers.nips.cc/paper_files/paper/1987/file/45c48cce2e2d7fbdea1afc51c7c6ad26-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/45c48cce2e2d7fbdea1afc51c7c6ad26-Abstract.html,Machine Learning and Deep Learning
Neural Net and Traditional Classifiers,"William Huang, Richard P. Lippmann",1987,"Abstract.  Previous  work on  nets  with  continuous-valued inputs  led  to generative 
procedures  to construct convex decision  regions with two-layer perceptrons (one hidden 
layer) and  arbitrary decision  regions  with  three-layer perceptrons  (two hidden layers). 
Here we demonstrate that two-layer perceptron classifiers trained with back propagation 
can  form  both  convex  and  disjoint  decision  regions.  Such  classifiers  are  robust,  train 
rapidly,  and  provide  good  performance  with  simple  decision  regions.  When  complex 
decision  regions  are  required,  however,  convergence  time  can  be  excessively  long  and 
performance is  often no better than that of k-nearest  neighbor classifiers.  Three neural 
net  classifiers  are  presented  that  provide  more  rapid  training  under  such  situations. 
Two use  fixed  weights in  the  first  one  or  two layers and  are  similar  to classifiers  that 
estimate probability density functions using histograms.  A third ""feature map classifier"" 
uses  both  unsupervised  and  supervised  training.  It provides  good  performance  with 
little supervised training in situations such as speech recognition where much unlabeled 
training data is  available.  The architecture of this classifier can  be  used  to implement 
a  neural net  k-nearest  neighbor classifier.",https://papers.nips.cc/paper_files/paper/1987/file/4e732ced3463d06de0ca9a15b6153677-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/4e732ced3463d06de0ca9a15b6153677-Abstract.html,AI and Applications
Scaling Properties of Coarse-Coded Symbol Memories,"Ronald Rosenfeld, David Touretzky",1987,"Abstract:  Coarse-coded symbol memories have appeared in several neural network 
symbol  processing  models.  In  order  to  determine  how  these  models  would  scale,  one 
must  first  have  some  understanding  of the  mathematics  of coarse-coded  representa(cid:173)
tions.  We  define  the  general  structure  of coarse-coded  symbol  memories  and  derive 
mathematical relationships among  their essential parameters:  memory 8ize,  8ymbol-8et 
size and capacity.  The computed capacity of one of the schemes agrees well with actual 
measurements oC  tbe coarse-coded working memory of DCPS, Touretzky and Hinton's 
distributed connectionist production system.",https://papers.nips.cc/paper_files/paper/1987/file/54229abfcfa5649e7003b83dd4755294-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/54229abfcfa5649e7003b83dd4755294-Abstract.html,Machine Learning and Deep Learning
Synchronization in Neural Nets,"Jacques Vidal, John Haggerty",1987,"The  paper  presents  an  artificial  neural  network  concept  (the  Synchronizable Oscillator Networks)  where the instants of individual  firings  in  the  form  of  point  processes  constitute  the  only  form  of  information  transmitted  between  joining  neurons.  This  type  of  communication contrasts with  that which  is  assumed  in most  other  models  which  typically  are  continuous  or  discrete  value-passing  networks.  Limiting the messages received  by each processing unit to  time  markers that signal  the firing  of other units  presents  significant  implemen tation advantages.  In  our  model,  neurons  fire  spontaneously  and  regularly  in  the  absence of perturbation.  When interaction is  present,  the scheduled  firings  are  advanced  or  delayed  by  the firing  of neighboring  neurons.  Networks  of  such  neurons  become  global  oscillators  which  exhibit  multiple  synchronizing  attractors.  From  arbitrary  initial  states,  energy  minimization  learning  procedures  can  make  the  network  converge  to  oscillatory  modes  that  satisfy  multi-dimensional  constraints  Such  networks  can  directly  represent  routing  and  scheduling problems  that conSist of ordering sequences of events.",https://papers.nips.cc/paper_files/paper/1987/file/6364d3f0f495b6ab9dcf8d3b5c6e0b01-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/6364d3f0f495b6ab9dcf8d3b5c6e0b01-Abstract.html,AI and Applications
A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY,"Tzi-Dar Chiueh, Rodney Goodman",1987,"The new neural network classifier we propose transforms the  classification problem into the coding theory problem of decoding a noisy  codeword. An input vector in the feature space is transformed into an internal  representation which is a codeword in the code space, and then error correction  decoded in this space to classify the input feature vector to its class. Two classes  of codes which give high performance are the Hadamard matrix code and the  maximal length sequence code. We show that the number of classes stored in an  N-neuron system is linear in N and significantly more than that obtainable by  using the Hopfield type memory as a classifier.",https://papers.nips.cc/paper_files/paper/1987/file/642e92efb79421734881b53e1e1b18b6-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/642e92efb79421734881b53e1e1b18b6-Abstract.html,Machine Learning and Deep Learning
